Vol Flr (m3/hr),Len (m),Mol Frac CO2,Strip Column Flr (gpm),CO2 init (g/L),BM init (g/L),BM out (g/L),H init (m),H final (m),ACP,CO2/DIC,DIC (uM),In pH,Out pH,Strip Conc (g/L),Water Loss (kg),Specific Growth Rate (hr-1),Strip Conc (g/L)
40.0,200.0,0.0,8.5,0.0225,3.0,0.0,0.15,0.19348784069665592,52.78673302295361,0.17536481738113788,2846.459292293792,8.452034866698453,6.705984953265763,0.025,12167.285852999206,0.026573438790713368,0.025
40.0,200.0,0.0,7.5,0.0225,3.0,0.0,0.15,0.18833181259793397,58.923546173926376,7.412464258379111e8,166.83333333425,8.452034866698453,9.460219479974894,0.025,11966.872846188511,0.03095023588558932,0.025
40.0,200.0,0.0,6.5,0.0225,3.0,0.0,0.15,0.18296738772751742,51.76414540113741,0.20956110373813389,2721.6377008329605,8.452034866698453,6.809919880081516,0.025,11842.387791733992,0.027842520409995044,0.025
40.0,200.0,0.0,5.5,0.0225,3.0,0.0,0.15,0.17795007295512588,55.48260303881846,2.3776310479154468e7,166.83333333425,8.452034866698453,9.460219479974894,0.025,11527.828013152022,0.030109318987489253,0.025
40.0,200.0,0.0,4.5,0.0225,3.0,0.0,0.15,0.17279848357391744,51.07320278970996,7.386174860099574e10,510.7455848933749,8.452034866698453,8.862138583855225,0.025,11071.761864658918,0.027377035649892304,0.025
40.0,200.0,0.0,3.5,0.0225,3.0,0.0,0.15,0.16768418218274886,51.08817936118642,1.379152153733714e8,166.83333333425,8.452034866698453,9.460219479974894,0.025,10809.930264891005,0.02911094195674309,0.025
40.0,200.0,0.0,2.5,0.0225,3.0,0.0,0.15,0.16262474408513367,44.65168130018789,0.2171533411602551,2775.5158490919134,8.452034866698453,6.711389668899721,0.025,10483.857304934238,0.024572389538850922,0.025
40.0,200.0,0.0,1.5,0.0225,3.0,0.0,0.15,0.15740042747673108,49.159069497798654,1.000710214650464e8,166.83333333425,8.452034866698453,9.460219479974894,0.025,10159.376165667423,0.028039806668404325,0.025
